Type,Nom,Description,Valeur,Source
Positive,Participer a des nettoyages de plages ou de cours d eau,S engager dans des initiatives locales pour nettoyer les zones aquatiques et proteger les habitats des especes aquatiques.,30,
Positive,Adopter des pratiques de peche durable,S informer et promouvoir la peche durable pour eviter la surpeche et la degradation des ecosystemes marins.,20,
Positive,Reduire l'utilisation de plastiques,Minimiser l utilisation de plastiques   a usage unique qui finissent souvent dans les oceans  nuisant   a la vie marine.,30,
Positive,eduquer sur l importance des ecosystemes aquatiques,Organiser ou participer   a des ateliers et des projets educatifs pour sensibiliser   a l importance de la conservation des ecosystemes aquatiques.,30,
Positive,Soutenir les reserves marines et les zones protegees,Promouvoir et soutenir les initiatives qui visent   a creer et   a entretenir des aires marines protegees pour preserver la biodiversite aquatique.,20,
Positive,Participer a des projets de science citoyenne,Engager dans des projets de science citoyenne qui surveillent la sante des ecosystemes aquatiques et la biodiversite marine.,30,
Positive,Promouvoir une consommation responsable des produits de la mer,S engager   a consommer des produits de la mer provenant de sources durables et   a eviter ceux issus de la peche illegale ou non reglementee.,20,
Positive,S engager dans des projets de restauration,Participer a des initiatives de restauration des habitats aquatiques  comme les mangroves  les recifs coralliens  et les zones humides.,30,
Positive,Sensibiliser au changement climatique et   a son impact sur la vie aquatique,Participer   a des campagnes d education sur les effets du changement climatique sur les oceans et la vie marine.,30,
Positive,Sensibiliser son entourage,Sensibiliser au sujet de la vie aquatique et partager des actions pour proteger les ecosystemes marins.,30,
Negative,Especes menacees d extinction,Les especes migratrices sont confrontees   a des defis majeurs  pres de la moitie d entre elles etant en declin et plus de 20% etant menacees d extinction  selon un rapport des Nations Unies publie en fevrier 2024.,20,https://news.un.org/fr/story/2024/02/1143102
Negative,Augmentation de la temperature des oceans,Les oceans absorbent environ 23 % du co2 produit par les humains et attenuent les impacts du rechauffement climatique. Les oceans ont egalement absorbe plus de 90 % de l'exces de chaleur dans le systeme climatique. La chaleur des oceans atteint des niveaux record  provoquant des vagues de chaleur marine generalisees  menacant les riches ecosystemes et tuant les recifs coralliens du monde entier.,20,https://www.un.org/sustainabledevelopment/fr/oceans/
Negative,Dechets plastiques,L'augmentation du nombre de debris dans les oceans du monde entier a egalement un impact environnemental et economique majeur. Chaque annee  on estime que 5   a 12 millions de tonnes metriques de plastique penetrent dans les oceans  ce qui coute environ 13 milliards de dollars par an  y compris les couts de nettoyage et les pertes financieres subies par les pecheries et d'autres secteurs d'activite. Environ 89 % des dechets plastiques trouves au fond des oceans sont des articles   a usage unique tels que les sacs en plastique.,20,https://www.un.org/sustainabledevelopment/fr/oceans/
